rank,registered_business_name,abn,anzsic_code,number_of_tenders,anzsic_score,tender_score,lead_score
784,THOMAS FOODS INTERNATIONAL BOURKE PTY LIMITED,94654997001,1111,40,3,2.2,2.68
785,THOMAS FOODS INTERNATIONAL LOBETHAL PTY LIMITED,67105579511,1111,40,3,2.2,2.68
786,THOMAS FOODS INTERNATIONAL MURRAY BRIDGE PTY LIMITED,34085672457,1111,40,3,2.2,2.68
787,THOMAS FOODS INTERNATIONAL STAWELL PTY LIMITED,69004967800,1111,40,3,2.2,2.68
788,THOMAS FOODS INTERNATIONAL TAMWORTH PTY LIMITED,82089140634,1111,40,3,2.2,2.68
789,THOMAS FOODS INTERNATIONAL WALLANGARA,25000481363,1111,17,3,2.2,2.68
790,TIMBER TREATERS BRIDGETOWN (WA) PTY LTD,95844683755,1413,12,3,2.2,2.68
791,TURNER BROTHERS SAWMILLERS & BUILDERS PTY LTD,51093110288,1411,19,3,2.21,2.68
792,TUROSI PTY LTD,92620198165,1111,38,3,2.2,2.68
793,ULTRASTAK AUST PTY LTD,60006793942,1821,22,3,2.2,2.68
794,URGENTLY PTY LTD,39074395654,1411,12,3,2.2,2.68
795,VICTORIA WOOL PROCESSORS (AUST) PTY LTD,38050032356,1311,23,3,2.2,2.68
796,VISY BOARD (WODONGA) PTY LTD,34098839402,1521,12,3,2.2,2.68
797,VISY PAPER PTY LTD,63005803234,1510,12,3,2.2,2.68
798,VISY PULP AND PAPER PTY LTD,30086513144,1510,15,3,2.2,2.68
799,WALKER CYPRESS MILLS PTY LTD,52001157008,1411,12,3,2.2,2.68
800,WARWICK BRICK WORKS PTY LTD,66009883309,2021,12,3,2.2,2.68
801,WESFARMERS LPG PTY LTD,32009214831,1811,12,3,2.2,2.68
802,WESPINE INDUSTRIES PTY LTD,88052954337,1411,59,3,2.2,2.68
803,WESTERN AUSTRALIAN SPECIALTY ALLOYS PTY LTD,14053910188,2139,15,3,2.2,2.68
804,WESTERN EXPORTERS PTY LTD,98069328543,1111,12,3,2.2,2.68
805,WHITEHEADS TIMBER SALES PTY LTD,91055540611,1411,12,3,2.2,2.68
806,WILGAHURST PTY LTD,30260957573,1411,12,3,2.2,2.68
807,WILKINS TIMBER PTY LTD,65109526696,1411,12,3,2.2,2.68
808,WINCHESTER AUST LTD,50004645318,2299,32,3,2.2,2.68
809,WING PLASTICS PTY LTD,58660087294,1911,25,3,2.2,2.68
810,WODONGA RENDERING PTY LTD,67074885457,1111,12,3,2.2,2.68
811,YARA PILBARA FERTILISERS PTY LTD,74095441151,1831,12,3,2.2,2.68
812,YARA PILBARA NITRATES PTY LTD,33127391422,1831,12,3,2.2,2.68
813,YOLARNO PTY LTD,95002255183,1111,12,3,2.2,2.68
814,ANI CORPORATE LIMITED,13000421358,2110,9,3,2.08,2.63
815,ASSOCIATED KILN DRIERS PTY LIMITED,34004341048,1411,9,3,2.08,2.63
